L1024 | 03:10 | 三般南喰赤－ | つよチュアチュア(+50.8) さぬMBC(-5.0) なかチュアチュア(-45.8)
L1024 | 03:25 | 三般南喰赤－ | つよチュアチュア(+40.1) なかチュアチュア(-8.1) さぬMBC(-32.0)
L1024 | 03:34 | 三般南喰赤－ | さぬMBC(+63.4) なかチュアチュア(-16.1) つよチュアチュア(-47.3)
L1024 | 03:48 | 三般南喰赤－ | なかチュアチュア(+44.1) さぬMBC(-8.8) つよチュアチュア(-35.3)
L1118 | 00:16 | 三般南喰赤－ | 震太郎震度Ⅷ(+54.8) 震太郎XX(+6.2) 臣田老Ⅸ(-61.0)
L1118 | 00:27 | 三般南喰赤－ | 震太郎XX(+47.0) 臣田老Ⅸ(-7.4) 震太郎震度Ⅷ(-39.6)
L1123 | 02:03 | 四般南喰赤－ | NoName(+42.4) NoName(+7.4) ◯NAGA05(-15.7) NoName(-34.1)
L1123 | 04:27 | 四般南喰赤－ | NoName(+56.8) NoName(+3.6) NoName(-18.5) ◯NAGA07(-41.9)
L1147 | 00:08 | 三般南喰赤－ | Onion(+35.3) ShadowC(-4.8) yipyip(-30.5)
L1150 | 00:41 | 四般南喰赤－ | Lucas123(+66.6) チャップジーピ(+3.2) 佳嗣(-19.0) さくでびる(-50.8)
L1150 | 00:55 | 四般南喰赤－ | チャップジーピ(+59.1) さくでびる(+9.4) 佳嗣(-27.5) Lucas123(-41.0)
L1150 | 01:25 | 四般南喰赤－ | チャップジーピ(+50.7) 佳嗣(+18.4) Lucas123(-16.5) さくでびる(-52.6)
L1150 | 01:39 | 四般南喰赤－ | チャップジーピ(+42.4) 佳嗣(+9.2) Lucas123(-18.4) さくでびる(-33.2)
